two_theta,intensity
11.18,0.0091887
11.2,0.0134187
11.22,0.0189181
11.24,0.0241331
11.26,0.0284981
11.28,0.0339604
11.3,0.0384314
11.32,0.0354447
11.34,0.0263712
11.36,0.0176734
11.38,0.0116002
11.4,0.0078229
11.42,0.0055602
11.44,0.0041763
11.46,0.0032786
11.48,0.0026598
11.5,0.002215
11.52,0.0018884
11.54,0.0016477
11.56,0.0014741
11.58,0.0013575
11.6,0.0012938
11.62,0.0012799
11.64,0.0013034
11.66,0.0013362
11.68,0.0013844
11.7,0.0015071
11.72,0.0017766
11.74,0.0022982
11.76,0.0032335
11.78,0.0047654
11.8,0.0069034
11.82,0.008858
11.84,0.0088528
11.86,0.006863
11.88,0.0046631
11.9,0.0030609
11.92,0.0020505
11.94,0.0014451
11.96,0.0010776
11.98,0.0008409
12,0.000683
12.02,0.0005642
12.04,0.0004746
12.06,0.0004055
12.08,0.0003514
12.1,0.0003086
12.12,0.0002745
12.14,0.0002475
12.16,0.0002263
12.18,0.0002101
12.2,0.0001986
12.22,0.0001914
12.24,0.0001886
12.26,0.0001904
12.28,0.0001976
12.3,0.0002112
12.32,0.0002334
12.34,0.0002678
12.36,0.0003194
12.38,0.0003961
12.4,0.0005023
12.42,0.0006301
12.44,0.0007632
12.46,0.0009409
12.48,0.0012626
12.5,0.0018473
12.52,0.0028207
12.54,0.004218
12.56,0.0056139
12.58,0.0058655
12.6,0.0047417
12.62,0.0033593
12.64,0.0022733
12.66,0.0015119
12.68,0.0010128
12.7,0.0006899
12.72,0.0004934
12.74,0.0003633
12.76,0.0002727
12.78,0.000174
12.8,0.0001253
12.82,8.79e-05
12.84,8.54e-05
12.86,6.31e-05
12.88,4.55e-05
12.9,3.17e-05
12.92,2.09e-05
12.94,1.27e-05
12.96,6.6e-06
12.98,2.4e-06
13,0
13.02,-7.1e-06
13.04,-1.25e-05
13.06,-1.63e-05
13.08,-1.83e-05
13.1,-1.85e-05
13.12,-1.64e-05
13.14,-1.2e-05
13.16,9.5e-06
13.18,2.13e-05
13.2,3.79e-05
13.22,6.08e-05
13.24,9.19e-05
13.26,0.0001344
13.28,0.0001931
13.3,0.0002757
13.32,0.0004602
13.34,0.0006513
13.36,0.0009663
13.38,0.0014996
13.4,0.0023735
13.42,0.0036601
13.44,0.0050874
13.46,0.0056252
13.48,0.0046688
13.5,0.0032154
13.52,0.00206
13.54,0.0013109
13.56,0.0008633
13.58,0.0006002
13.6,0.00044
13.62,0.0003371
13.64,0.0002685
13.66,0.0002218
13.68,0.0001909
13.7,0.0001719
13.72,0.0001625
13.74,0.0001612
13.76,0.0001671
13.78,0.00018
13.8,0.0001998
13.82,0.0002274
13.84,0.0002632
13.86,0.0003085
13.88,0.0003655
13.9,0.0004368
13.92,0.0005265
13.94,0.0006411
13.96,0.0007907
13.98,0.0009932
14,0.001283
14.02,0.0017252
14.04,0.0024253
14.06,0.0035117
14.08,0.0050668
14.1,0.0067644
14.12,0.0075175
14.14,0.006884
14.16,0.0060306
14.18,0.0058504
14.2,0.0066996
14.22,0.0089266
14.24,0.0129952
14.26,0.0191179
14.28,0.0257481
14.3,0.0277882
14.32,0.0228997
14.34,0.016155
14.36,0.0108827
14.38,0.0075473
14.4,0.0056352
14.42,0.004608
14.44,0.0041047
14.46,0.00394
14.48,0.0040506
14.5,0.0044984
14.52,0.0053303
14.54,0.0068118
14.56,0.0092542
14.58,0.0128578
14.6,0.0169849
14.62,0.0191421
14.64,0.0179422
14.66,0.0160831
14.68,0.0159838
14.7,0.018755
14.72,0.0254849
14.74,0.0374713
14.76,0.0549068
14.78,0.0720213
14.8,0.0740042
14.82,0.0582895
14.84,0.0395835
14.86,0.0256704
14.88,0.0168438
14.9,0.0115846
14.92,0.0084155
14.94,0.006413
14.96,0.005057
14.98,0.0040905
15,0.0033817
15.02,0.002859
15.04,0.0024817
15.06,0.0022263
15.08,0.0020673
15.1,0.0019392
15.12,0.001744
15.14,0.001496
15.16,0.0012763
15.18,0.0011113
15.2,0.0009944
15.22,0.000914
15.24,0.0008602
15.26,0.0008267
15.28,0.0008102
15.3,0.0008091
15.32,0.0008228
15.34,0.0008513
15.36,0.0008953
15.38,0.0009557
15.4,0.0010344
15.42,0.0011343
15.44,0.0012588
15.46,0.0014109
15.48,0.001597
15.5,0.0018249
15.52,0.0021051
15.54,0.0024518
15.56,0.0028849
15.58,0.0034268
15.6,0.0041301
15.62,0.0050512
15.64,0.0062905
15.66,0.0080143
15.68,0.010555
15.7,0.0145916
15.72,0.0212613
15.74,0.0323573
15.76,0.0496326
15.78,0.0723655
15.8,0.0901598
15.82,0.0861065
15.84,0.0658201
15.86,0.0466348
15.88,0.0348208
15.9,0.0304231
15.92,0.0322982
15.94,0.0386267
15.96,0.0441719
15.98,0.0410402
16,0.0309475
16.02,0.0211868
16.04,0.0142947
16.06,0.0099434
16.08,0.0072722
16.1,0.0056122
16.12,0.0045185
16.14,0.0037638
16.16,0.003235
16.18,0.0028751
16.2,0.0026578
16.22,0.0025797
16.24,0.0026647
16.26,0.0029843
16.28,0.0036185
16.3,0.0049577
16.32,0.0072261
16.34,0.0105194
16.36,0.0137289
16.38,0.0140817
16.4,0.0110729
16.42,0.0074874
16.44,0.0048102
16.46,0.0031009
16.48,0.0020696
16.5,0.0014422
16.52,0.0010386
16.54,0.0007607
16.56,0.0005648
16.58,0.0004142
16.6,0.0003003
16.62,0.0002159
16.64,0.0001509
16.66,0.0001032
16.68,7.04e-05
16.7,5.12e-05
16.72,4.53e-05
16.74,5.33e-05
16.76,7.76e-05
16.78,0.0001236
16.8,0.0002014
16.82,0.0003279
16.84,0.0005226
16.86,0.0007929
16.88,0.0010799
16.9,0.001224
16.92,0.0012031
16.94,0.0011945
16.96,0.0013052
16.98,0.0015697
17,0.0020247
17.02,0.0027537
17.04,0.0039307
17.06,0.0058667
17.08,0.0090006
17.1,0.0136578
17.12,0.0195933
17.14,0.0254791
17.16,0.0272745
17.18,0.0224774
17.2,0.0157386
17.22,0.0105776
17.24,0.0074688
17.26,0.0060937
17.28,0.0058284
17.3,0.0066993
17.32,0.0082816
17.34,0.0094138
17.36,0.0086823
17.38,0.0067695
17.4,0.0048624
17.42,0.0033563
17.44,0.0023048
17.46,0.0016809
17.48,0.0013131
17.5,0.0011037
17.52,0.0009969
17.54,0.0009654
17.56,0.0009988
17.58,0.0010977
17.6,0.0012725
17.62,0.0015468
17.64,0.001967
17.66,0.0026316
17.68,0.0037263
17.7,0.0055883
17.72,0.0086749
17.74,0.0133499
17.76,0.0189707
17.78,0.0220851
17.8,0.0193705
17.82,0.0138723
17.84,0.0092237
17.86,0.0061866
17.88,0.0044759
17.9,0.0036659
17.92,0.0035028
17.94,0.0039057
17.96,0.0048629
17.98,0.0061361
18,0.006816
18.02,0.0062351
18.04,0.0052451
18.06,0.0045268
18.08,0.0038815
18.1,0.0030995
18.12,0.0023964
18.14,0.0019182
18.16,0.0016431
18.18,0.0015129
18.2,0.0014802
18.22,0.0015157
18.24,0.0016044
18.26,0.001741
18.28,0.001926
18.3,0.0021643
18.32,0.0024646
18.34,0.0028408
18.36,0.0033134
18.38,0.0039109
18.4,0.0046756
18.42,0.0056586
18.44,0.0069192
18.46,0.0085621
18.48,0.0108483
18.5,0.0142933
18.52,0.0198115
18.54,0.0288799
18.56,0.0433765
18.58,0.0643775
18.6,0.0876616
18.62,0.0993181
18.64,0.0958152
18.66,0.0933363
18.68,0.0983249
18.7,0.0980907
18.72,0.0805843
18.74,0.0567962
18.76,0.0379023
18.78,0.0254648
18.8,0.0178505
18.82,0.0132607
18.84,0.0104656
18.86,0.0087651
18.88,0.007786
18.9,0.0071678
18.92,0.0063815
18.94,0.0052986
18.96,0.0042918
18.98,0.0035545
19,0.0030953
19.02,0.0028986
19.04,0.0029756
19.06,0.0033914
19.08,0.0039857
19.1,0.0044393
19.12,0.0042813
19.14,0.0036989
19.16,0.0028837
19.18,0.0020988
19.2,0.0015212
19.22,0.001152
19.24,0.0008946
19.26,0.0007575
19.28,0.0006979
19.3,0.0007124
19.32,0.0007992
19.34,0.0009344
19.36,0.0010199
19.38,0.0009109
19.4,0.0006727
19.42,0.0004696
19.44,0.0003343
19.46,0.0002658
