two_theta,intensity
11.38,0.0047872
11.4,0.0090426
11.42,0.0111702
11.44,0.0074468
11.46,0.0132979
11.48,0.0085106
11.5,0.0085106
11.52,0.0090426
11.54,0.006383
11.56,0.0106383
11.58,0.012234
11.6,0.0101064
11.62,0.0106383
11.64,0.0106383
11.65,0.0090426
11.67,0.0079787
11.69,0.0095745
11.71,0.0117021
11.73,0.0090426
11.75,0.0079787
11.77,0.0069149
11.79,0.0106383
11.81,0.0164894
11.83,0.0281915
11.85,0.0196809
11.87,0.0164894
11.89,0.0159575
11.91,0.0143617
11.93,0.0148936
11.95,0.0079787
11.97,0.006383
11.99,0.006383
12.01,0.0101064
12.03,0.0106383
12.05,0.0031915
12.07,0.0085106
12.09,0.0074468
12.11,0.0111702
12.13,0.0101064
12.15,0.0117021
12.17,0.0095745
12.19,0.0095745
12.21,0.0111702
12.23,0.0090426
12.25,0.0090426
12.27,0.0085106
12.28,0.0058511
12.3,0.0053191
12.32,0.0117021
12.34,0.0074468
12.36,0.0053191
12.38,0.0079787
12.4,0.0079787
12.42,0.0058511
12.44,0.0069149
12.46,0.0069149
12.48,0.0111702
12.5,0.0085106
12.52,0.0079787
12.54,0.0090426
12.56,0.0074468
12.58,0.006383
12.6,0.0085106
12.62,0.0085106
12.64,0.0117021
12.66,0.0085106
12.68,0.0047872
12.7,0.0101064
12.72,0.0111702
12.74,0.0090426
12.76,0.006383
12.78,0.0085106
12.8,0.0090426
12.82,0.006383
12.84,0.0132979
12.86,0.012234
12.88,0.0053191
12.9,0.0132979
12.92,0.0106383
12.93,0.0053191
12.95,0.0090426
12.97,0.0079787
12.99,0.0101064
13.01,0.0079787
13.03,0.0074468
13.05,0.0074468
13.07,0.0047872
13.09,0.006383
13.11,0.0069149
13.13,0.0079787
13.15,0.0090426
13.17,0.0106383
13.19,0.0079787
13.21,0.0095745
13.23,0.0031915
13.25,0.0042553
13.27,0.0106383
13.29,0.0069149
13.31,0.0111702
13.33,0.0074468
13.35,0.0106383
13.37,0.0074468
13.39,0.0058511
13.41,0.0069149
13.43,0.0074468
13.45,0.0074468
13.47,0.0090426
13.49,0.0111702
13.51,0.0106383
13.53,0.0058511
13.55,0.012234
13.56,0.0117021
13.58,0.0095745
13.6,0.0106383
13.62,0.0138298
13.64,0.0106383
13.66,0.012766
13.68,0.0138298
13.7,0.0132979
13.72,0.0095745
13.74,0.018617
13.76,0.0117021
13.78,0.012234
13.8,0.0207447
13.82,0.0164894
13.84,0.0228723
13.86,0.0159575
13.88,0.0170213
13.9,0.0234043
13.92,0.0351064
13.94,0.0718085
13.96,0.1180851
13.98,0.1845745
14,0.3031915
14.02,0.5489361
14.04,0.8776596
14.06,0.7547872
14.08,0.475
14.1,0.2117021
14.12,0.0526596
14.14,0.0393617
14.16,0.0425532
14.18,0.0351064
14.19,0.031383
14.21,0.0308511
14.23,0.0276596
14.25,0.0276596
14.27,0.0239362
14.29,0.031383
14.31,0.0228723
14.33,0.0207447
14.35,0.0148936
14.37,0.0138298
14.39,0.0132979
14.41,0.0095745
14.43,0.0111702
14.45,0.0117021
14.47,0.0138298
14.49,0.0090426
14.51,0.006383
14.53,0.0074468
14.55,0.012234
14.57,0.0154255
14.59,0.0085106
14.61,0.0117021
14.63,0.0138298
14.65,0.012766
14.67,0.012234
14.69,0.0101064
14.71,0.0117021
14.73,0.0074468
14.75,0.012766
14.77,0.0117021
14.79,0.0090426
14.81,0.0138298
14.82,0.0138298
14.84,0.012234
14.86,0.0255319
14.88,0.037766
14.9,0.037234
14.92,0.037234
14.94,0.037234
14.96,0.0218085
14.98,0.0175532
15,0.0111702
15.02,0.0069149
15.04,0.012766
15.06,0.0074468
15.08,0.0085106
15.1,0.0095745
15.12,0.0106383
15.14,0.0095745
15.16,0.0090426
15.18,0.0106383
15.2,0.0101064
15.22,0.0090426
15.24,0.012766
15.26,0.0101064
15.28,0.0090426
15.3,0.0101064
15.32,0.0090426
15.34,0.0079787
15.36,0.012766
15.38,0.0101064
15.4,0.0069149
15.42,0.012234
15.44,0.0111702
15.45,0.0069149
15.47,0.0090426
15.49,0.0101064
15.51,0.0058511
15.53,0.0074468
15.55,0.0085106
15.57,0.012766
15.59,0.0074468
15.61,0.0095745
15.63,0.012766
15.65,0.0090426
15.67,0.0047872
15.69,0.012234
15.71,0.0079787
15.73,0.006383
15.75,0.006383
15.77,0.0101064
15.79,0.0069149
15.81,0.0074468
15.83,0.0095745
15.85,0.0069149
15.87,0.0106383
15.89,0.0069149
15.91,0.012234
15.93,0.0111702
15.95,0.0117021
15.97,0.0085106
15.99,0.0101064
16.01,0.0058511
16.03,0.0085106
16.05,0.0101064
16.07,0.0058511
16.08,0.0079787
16.1,0.0090426
16.12,0.0095745
16.14,0.0101064
16.16,0.0111702
16.18,0.0074468
16.2,0.0143617
16.22,0.0111702
16.24,0.0106383
16.26,0.0095745
16.28,0.0079787
16.3,0.0074468
16.32,0.0154255
16.34,0.0164894
16.36,0.0265957
16.38,0.0430851
16.4,0.0845745
16.42,0.1207447
16.44,0.0957447
16.46,0.1037234
16.48,0.0952128
16.5,0.0617021
16.52,0.0505319
16.54,0.0260638
16.56,0.0212766
16.58,0.0276596
16.6,0.0335106
16.62,0.0356383
16.64,0.0569149
16.66,0.0819149
16.68,0.0851064
16.7,0.0781915
16.72,0.0558511
16.73,0.0287234
16.75,0.0218085
16.77,0.0170213
16.79,0.0154255
16.81,0.012766
16.83,0.0111702
16.85,0.0117021
16.87,0.006383
16.89,0.0159575
16.91,0.012234
16.93,0.012766
16.95,0.0090426
16.97,0.0090426
16.99,0.006383
17.01,0.0069149
17.03,0.0079787
17.05,0.0085106
17.07,0.0074468
17.09,0.0132979
17.11,0.0095745
17.13,0.0095745
17.15,0.012234
17.17,0.0111702
17.19,0.0101064
17.21,0.0090426
17.23,0.0111702
17.25,0.0069149
17.27,0.0101064
17.29,0.012234
17.31,0.0101064
17.33,0.0095745
17.35,0.0101064
17.36,0.0143617
17.38,0.0101064
17.4,0.0106383
17.42,0.012234
17.44,0.0111702
17.46,0.0117021
17.48,0.012234
17.5,0.0106383
17.52,0.012234
17.54,0.0069149
17.56,0.0085106
17.58,0.0101064
17.6,0.0101064
17.62,0.0058511
17.64,0.0090426
17.66,0.0069149
17.68,0.0074468
17.7,0.0058511
17.72,0.0095745
17.74,0.006383
17.76,0.0058511
17.78,0.006383
17.8,0.0074468
17.82,0.0074468
17.84,0.0111702
17.86,0.0079787
17.88,0.0095745
17.9,0.012766
17.92,0.0154255
17.94,0.0095745
17.96,0.0053191
17.98,0.0143617
17.99,0.0154255
18.01,0.0106383
18.03,0.0154255
18.05,0.0207447
18.07,0.0234043
18.09,0.0345745
18.11,0.0228723
18.13,0.0234043
18.15,0.012766
18.17,0.0164894
18.19,0.0148936
18.21,0.0143617
18.23,0.0101064
18.25,0.0143617
18.27,0.012234
18.29,0.0138298
18.31,0.0154255
18.33,0.0085106
18.35,0.0148936
18.37,0.0170213
18.39,0.0170213
18.41,0.012234
18.43,0.0159575
18.45,0.0180851
18.47,0.0287234
18.49,0.031383
18.51,0.0994681
18.53,0.1856383
18.55,0.2404255
18.57,0.2930851
18.59,0.2829787
18.61,0.1920213
18.62,0.1361702
18.64,0.0691489
18.66,0.031383
18.68,0.0159575
18.7,0.0207447
18.72,0.0148936
18.74,0.0164894
18.76,0.0117021
18.78,0.0143617
18.8,0.0058511
18.82,0.012766
18.84,0.0148936
18.86,0.0074468
18.88,0.0095745
18.9,0.0111702
18.92,0.012766
18.94,0.0106383
18.96,0.0074468
18.98,0.012234
19,0.0159575
19.02,0.0159575
19.04,0.0223404
19.06,0.0180851
19.08,0.0196809
19.1,0.018617
19.12,0.012234
19.14,0.0175532
19.16,0.0090426
19.18,0.0095745
19.2,0.0106383
19.22,0.0090426
19.24,0.0106383
19.25,0.0154255
19.27,0.012234
19.29,0.0106383
19.31,0.0111702
19.33,0.0202128
19.35,0.0164894
19.37,0.012766
19.39,0.0143617
19.41,0.0191489
19.43,0.0297872
19.45,0.0478723
19.47,0.0638298
19.49,0.1239362
19.51,0.1712766
19.53,0.2505319
19.55,0.2457447
19.57,0.1574468
