two_theta,intensity
11.62,0.60076
11.64,0.600877
11.66,0.6010279
11.68,0.6012259
11.7,0.6014917
11.72,0.6018611
11.74,0.6024015
11.76,0.6032475
11.78,0.6046531
11.8,0.6070218
11.82,0.6108238
11.84,0.6161534
11.86,0.6212563
11.88,0.62174
11.9,0.6170452
11.92,0.6115593
11.94,0.6075078
11.96,0.6049494
11.98,0.6034278
12,0.6025191
12.02,0.6019472
12.04,0.6015634
12.06,0.6012938
12.08,0.6011014
12.1,0.6009678
12.12,0.6008866
12.14,0.6008612
12.16,0.6008998
12.18,0.6010014
12.2,0.6011102
12.22,0.6010857
12.24,0.6009025
12.26,0.6006966
12.28,0.60054
12.3,0.6004347
12.32,0.6003656
12.34,0.600319
12.36,0.6002855
12.38,0.6002599
12.4,0.6002398
12.42,0.6002234
12.44,0.6002101
12.46,0.6001993
12.48,0.6001905
12.5,0.6001835
12.52,0.6001781
12.54,0.6001685
12.56,0.6001663
12.58,0.6001654
12.6,0.6003675
12.62,0.6003755
12.64,0.6003856
12.66,0.600398
12.68,0.6004132
12.7,0.6004317
12.72,0.6004544
12.74,0.6004979
12.76,0.6005333
12.78,0.6005781
12.8,0.6006359
12.82,0.6007129
12.84,0.6008589
12.86,0.6010178
12.88,0.6012696
12.9,0.6016876
12.92,0.6023748
12.94,0.6034177
12.96,0.6046962
12.98,0.6054713
13,0.6049338
13.02,0.6036983
13.04,0.6026213
13.06,0.6019038
13.08,0.6014755
13.1,0.601231
13.12,0.6010907
13.14,0.6010081
13.16,0.6009591
13.18,0.600932
13.2,0.6009202
13.22,0.6009199
13.24,0.6009287
13.26,0.6009451
13.28,0.6009681
13.3,0.6009971
13.32,0.6010319
13.34,0.6010723
13.36,0.6010977
13.38,0.6011504
13.4,0.6012093
13.42,0.6012751
13.44,0.6013483
13.46,0.6014298
13.48,0.6015882
13.5,0.6016912
13.52,0.6018062
13.54,0.6019348
13.56,0.602079
13.58,0.6022416
13.6,0.6024255
13.62,0.6026345
13.64,0.6028733
13.66,0.6031479
13.68,0.6034657
13.7,0.6038356
13.72,0.6042711
13.74,0.6047876
13.76,0.6054068
13.78,0.6061575
13.8,0.6070799
13.82,0.60823
13.84,0.6096891
13.86,0.6115778
13.88,0.6140842
13.9,0.6175259
13.92,0.6224969
13.94,0.6301788
13.96,0.642819
13.98,0.664057
14,0.6982908
14.02,0.7470574
14.04,0.7963823
14.06,0.8064046
14.08,0.7665249
14.1,0.7167479
14.12,0.6805509
14.14,0.6597475
14.16,0.6499631
14.18,0.6450446
14.2,0.640054
14.22,0.6360984
14.24,0.6360925
14.26,0.6408135
14.28,0.6478108
14.3,0.6492907
14.32,0.6409426
14.34,0.6296789
14.36,0.620804
14.38,0.6149338
14.4,0.611278
14.42,0.608991
14.44,0.6074812
14.46,0.6064267
14.48,0.6056518
14.5,0.6050666
14.52,0.6046197
14.54,0.6042788
14.56,0.6040233
14.58,0.6038398
14.6,0.6037203
14.62,0.6036611
14.64,0.6036623
14.66,0.6037278
14.68,0.603866
14.7,0.6040911
14.72,0.6044257
14.74,0.6049048
14.76,0.605584
14.78,0.6065571
14.8,0.6079977
14.82,0.6102521
14.84,0.6139932
14.86,0.6203559
14.88,0.6308194
14.9,0.6462868
14.92,0.6635895
14.94,0.6703698
14.96,0.6589646
14.98,0.6412713
15,0.6271974
15.02,0.6179613
15.04,0.6124282
15.06,0.6091146
15.08,0.6070498
15.1,0.6056699
15.12,0.6046897
15.14,0.6039634
15.16,0.6034212
15.18,0.6029893
15.2,0.602646
15.22,0.6024982
15.24,0.602275
15.26,0.6020909
