two_theta,intensity
11.55,0.0150015
11.57,0.0115496
11.59,0.0076584
11.61,0.0138726
11.64,0.0139356
11.66,0.009605
11.68,0.0079106
11.7,0.008413
11.72,0.0080366
11.74,0.0054635
11.76,0.0094812
11.78,0.0236044
11.8,0.0280614
11.82,0.0184588
11.84,0.0273095
11.86,0.0146312
11.88,-0.00288
11.9,0.0138793
11.92,0.004716
11.94,0.0039007
11.96,0.0167063
11.98,-0.0034407
12,0.0040924
12.02,0.0054745
12.04,0.0108108
12.06,-0.0005488
12.08,0.0017119
12.1,0.0057302
12.13,0.0040366
12.15,0.0084942
12.17,0.0050439
12.19,0.0152139
12.21,-0.0031749
12.23,0.0069952
12.25,0.0158471
12.27,0.0058063
12.29,-0.0033559
12.31,-0.0024125
12.33,0.0029245
12.35,0.0012316
12.37,-0.0057329
12.39,-0.0012738
12.41,0.0005491
12.43,0.0098412
12.45,-0.0072287
12.47,0.0231531
12.49,0.0025682
12.51,-0.0035175
12.53,-0.0096033
12.55,0.00584
12.57,0.001952
12.59,-0.0032541
12.62,0.0042815
12.64,0.0091809
12.66,0.0044142
12.68,0.011071
12.7,-0.0112704
12.72,0.0085675
12.74,-0.0001535
12.76,0.0043065
12.78,0.0136005
12.8,0.0092742
12.82,0.006266
12.84,0.0067727
12.86,-0.0001898
12.88,0.0051499
12.9,0.0078535
12.92,0.0017697
12.94,-0.0003598
12.96,0.0027831
12.98,0.0116389
13,0.0016019
13.02,0.0069427
13.04,0.0065718
13.06,0.0026859
13.08,0.0111024
13.11,0.0094133
13.13,0.0090424
13.15,0.0003235
13.17,0.0144517
13.19,-0.009644
13.21,0.0027279
13.23,0.0014794
13.25,0.0072607
13.27,0.0077697
13.29,0.0157479
13.31,0.0039545
13.33,0.0106146
13.35,0.0111235
13.37,0.0125112
13.39,-0.0001597
13.41,0.0100165
13.43,0.0140415
13.45,0.0084005
13.47,0.0075925
13.49,0.0291922
13.51,0.0318991
13.53,0.0315305
13.55,0.0403886
13.57,0.0347476
13.6,0.019881
13.62,0.0168773
13.64,0.0064044
13.66,0.0042794
13.68,0.0096237
13.7,2.95e-05
13.72,0.0097675
13.74,0.0032489
13.76,-0.0001941
13.78,0.0086651
13.8,0.0065413
13.82,-0.0008549
13.84,0.0005362
13.86,0.0023667
13.88,0.0059547
13.9,0.013497
13.92,0.0069795
13.94,-0.004371
13.96,0.0106405
13.98,0.0089561
14,0.0213325
14.02,0.0284365
14.04,0.0496002
14.06,0.0734002
14.08,0.1147748
14.11,0.1526346
14.13,0.1368915
14.15,0.1330113
14.17,0.084755
14.19,0.0531947
14.21,0.0251503
14.23,0.0120444
14.25,0.0116802
14.27,0.0034074
14.29,0.0048006
14.31,0.0057545
14.33,-0.0007608
14.35,-0.0020038
14.37,0.0094949
14.39,0.0021008
14.41,0.0136005
14.43,0.0009349
14.45,0.0080409
14.47,0.0050414
14.49,-0.0045486
14.51,0.0109053
14.53,0.0052696
14.55,-0.0016842
14.57,0.0054218
14.6,0.0107703
14.62,-0.0005763
14.64,-0.0022569
14.66,0.0008956
14.68,-0.0025424
14.7,0.0085187
14.72,-0.0015098
14.74,0.0029608
14.76,-0.0004773
14.78,-0.0012791
14.8,0.0045096
14.82,0.0037085
14.84,0.00115
14.86,0.0021063
14.88,0.0083351
14.9,0.0123671
14.92,0.0071723
14.94,0.0226278
14.96,0.0200692
14.98,0.0210256
15,0.0109978
15.02,0.0106366
15.04,0.0159872
15.06,-0.0054635
15.09,0.0007658
15.11,0.0012834
15.13,0.0009223
15.15,-0.000757
15.17,0.0129416
15.19,0.0143379
15.21,0.0047501
15.23,0.0092224
15.25,0.0027106
15.27,0.0080616
15.29,0.0085797
15.31,0.0112946
15.33,0.0166456
15.35,0.0074976
15.37,0.0115305
15.39,0.0107305
15.41,0.0270657
15.43,0.039447
15.45,0.0663274
15.47,0.0664063
15.49,0.062531
15.51,0.059095
15.53,0.0372056
15.55,0.017513
15.58,0.0074865
15.6,0.0123985
15.62,0.0036902
15.64,0.0077236
15.66,0.011757
15.68,0.0034881
15.7,0.009279
15.72,0.0124337
15.74,0.0032861
15.76,0.0051227
15.78,-0.0022675
15.8,0.006599
15.82,0.0093143
15.84,0.0089541
15.86,0.01123
15.88,0.0038399
15.9,0.0091914
15.92,0.0009225
15.94,0.0075922
15.96,-0.0002373
15.98,0.0095079
16,0.0091476
16.02,0
16.04,0.0044064
16.07,0.0171609
16.09,0.0202492
16.11,0.0220194
16.13,0.0224716
16.15,0.0295142
16.17,0.0352387
16.19,0.0269035
16.21,0.0255982
16.23,0.0216566
16.25,0.0054131
16.27,0.0067443
16.29,0.0023637
16.31,0.0089673
16.33,0.0032686
16.35,-0.0006727
16.37,0.0103246
16.39,-0.0032827
16.41,0.0046389
16.43,0.0002583
16.45,0.0152103
16.47,0.0064365
16.49,0.0143586
16.51,0.0007518
16.53,0.001644
16.56,0.0060512
16.58,0.0034285
16.6,0.0047601
16.62,0.0074098
16.64,0.0017116
16.66,0.0109524
16.68,0.009209
16.7,0.0136168
16.72,0.0092372
16.74,0.0009033
16.76,0.008826
16.78,0.0004921
16.8,0.0114904
16.82,0.0202919
16.84,0.021624
16.86,0.0282293
16.88,0.0445007
16.9,0.0647264
16.92,0.0664987
16.94,0.0449844
16.96,0.0340151
16.98,0.0173339
17,0.012955
17.02,0.007258
17.05,0.001561
17.07,0.002016
17.09,-0.0006047
17.11,0.0016078
17.13,-0.0014522
17.15,0.0121838
17.17,0.0078057
17.19,0.0258353
17.21,0.0311233
17.23,0.0509104
17.25,0.0663039
17.27,0.0777439
17.29,0.0856689
17.31,0.0602021
17.33,0.0562643
17.35,0.0224495
17.37,0.0127998
17.39,0.0062258
17.41,0.0137115
17.43,0.0014257
17.45,0.003639
17.47,0.0076107
17.49,0.0102643
17.51,-0.0020205
17.54,0.007663
17.56,0.0085591
17.58,-0.0006502
17.6,-0.0015115
17.62,0.0024602
17.64,0.002917
17.66,0.00601
17.68,-0.0014408
17.7,0.0056075
17.72,-0.0022827
17.74,0.0008113
17.76,0.0140107
17.78,0.0026056
17.8,0.007457
17.82,0.0022031
17.84,0.0017821
17.86,0.003558
17.88,0.0048955
17.9,0.0101874
17.92,0.0084494
17.94,0.0089082
17.96,0.0185937
17.98,0.0199313
18,0.0252231
18.03,0.0190915
18.05,0.0226258
18.07,0.0279177
18.09,0.025302
18.11,0.0253225
18.13,0.0354484
18.15,0.015258
18.17,0.0157179
18.19,0.020132
18.21,0.013562
18.23,0.0210517
18.25,0.0228297
18.27,0.0474548
18.29,0.1028365
18.31,0.1366894
18.33,0.1367109
18.35,0.1371718
18.37,0.0954534
18.39,0.066916
18.41,0.0440905
18.43,0.0256586
18.45,0.0155746
18.47,0.0032939
18.49,0.0068313
18.52,0.0042176
18.54,0.0029221
18.56,0.0055808
18.58,0.0042852
18.6,-0.0044796
18.62,0.0038909
18.64,0.0113827
18.66,0.0061328
18.68,0.0057159
18.7,-0.0026086
18.72,0.0044448
18.74,0.0106194
18.76,0.0022949
18.78,-0.0011965
18.8,-0.0011731
18.82,-0.0007102
18.84,0.0023888
18.86,0.0028517
18.88,0.0033145
18.9,-0.000176
18.92,-0.000591
18.94,-0.0049603
18.96,0.0078057
18.98,0.0104663
19.01,-0.0004935
19.03,-0.0013479
19.05,0.0043883
19.07,0.0008977
19.09,0.0026796
19.11,0.0040228
19.13,-0.000785
19.15,0.0040732
19.17,0.0032197
19.19,0.0023661
19.21,0.0010732
19.23,-0.0006591
19.25,-0.0054669
19.27,0.0059818
19.29,0.0086432
19.31,-0.0001182
19.33,-9.23e-05
19.35,0.0095997
19.37,-0.0053129
19.39,0.0035004
19.41,-0.003943
19.43,-0.0017202
19.45,0.00226
19.47,0.0101945
19.5,0.0031905
19.52,0.0023383
19.54,0.008516
19.56,0.0006339
19.58,0.0046148
19.6,0.0099137
19.62,0.0086221
19.64,0.009088
19.66,0.0016453
19.68,0.0104592
19.7,0.001259
19.72,0.0135883
19.74,0.0127366
19.76,0.0074912
19.78,0.0114726
19.8,0.0013942
19.82,-0.0020938
19.84,0.0080387
19.86,0.0054296
19.88,0.0067747
19.9,0.0046049
19.92,0.0081472
19.94,0.0033416
19.96,0.011717
19.99,0.0091082
20.01,0.0126506
20.03,0.0205866
20.05,0.0276439
20.07,0.0223989
20.09,0.0193508
20.11,0.0149845
20.13,0.0128153
20.15,0.0141611
20.17,0.0054014
20.19,0.0107015
20.21,0.0146835
20.23,0.0138324
20.25,0.0164963
20.27,0.0283869
20.29,0.0350051
20.31,0.0332753
20.33,0.0306669
20.35,0.0241042
20.37,0.0263288
20.39,0.0048276
20.41,-0.0030532
20.43,0.0031257
20.45,0.0013961
20.48,-0.0003336
20.5,0.0036485
20.52,0.0001614
20.54,-0.0028864
20.56,0.0041713
20.58,-0.0015127
20.6,0.0073024
20.62,-0.000139
20.64,-0.002308
20.66,0.0034315
20.68,0.0021412
20.7,-0.0022246
20.72,0
20.74,0.0061453
20.76,0.0026245
20.78,0.0061335
20.8,0.006567
20.82,0.0070005
20.84,0.0052372
20.86,0.0184124
20.88,0.0162097
20.9,0.040369
20.92,0.0803456
20.94,0.1400942
20.97,0.2156601
20.99,0.3061645
21.01,0.3320819
21.03,0.307472
21.05,0.2771504
21.07,0.1835598
21.09,0.129073
21.11,0.0877672
21.13,0.0394315
21.15,0.0468963
21.17,0.0561186
21.19,0.0952179
21.21,0.1532099
21.23,0.1584779
21.25,0.1940622
21.27,0.1716501
21.29,0.1444049
21.31,0.091237
21.33,0.0631131
21.35,0.0178549
21.37,0.0253209
21.39,0.0095003
21.41,0.0112545
21.43,0.0033426
21.46,0.0011424
21.48,0.0006997
21.5,-0.0006217
21.52,0.0125561
21.54,0.0059622
21.56,0.006839
21.58,0.005519
21.6,-0.0001947
21.62,0.0002427
21.64,-0.0023954
21.66,0.009905
21.68,0.0059487
21.7,0.0050681
21.72,0.0059449
21.74,0.0006705
21.76,0.0037458
21.78,0.0041848
21.8,0.0015483
21.82,-0.0024063
21.84,0.005502
21.86,-0.0002101
21.88,-0.0006498
21.9,0.0059404
21.92,0.0055007
21.95,0.0103334
21.97,0.0046231
21.99,0.009897
22.01,0.0077017
22.03,0.0151725
22.05,0.0314306
22.07,0.0507642
22.09,0.0740522
22.11,0.0986583
22.13,0.1030535
22.15,0.0969038
22.17,0.0973467
22.19,0.0771394
22.21,0.0547352
22.23,0.0380427
22.25,0.0248652
22.27,0.0310199
22.29,0.0327809
22.31,0.0679338
22.33,0.1017687
22.35,0.176904
22.37,0.2959783
22.39,0.5213795
22.41,0.8030196
22.43,0.9660307
22.46,0.9431893
22.48,0.8381862
22.5,0.6813378
22.52,0.4985668
22.54,0.3096446
22.56,0.2468208
22.58,0.2753878
22.6,0.3707386
22.62,0.5394637
22.64,0.667767
22.66,0.6594272
22.68,0.6053931
22.7,0.4968775
22.72,0.3321228
22.74,0.2178954
22.76,0.1322269
22.78,0.0680899
22.8,0.0549195
22.82,0.0645962
22.84,0.101953
22.86,0.1612782
22.88,0.2623432
22.9,0.394164
22.92,0.4750182
22.95,0.4820587
22.97,0.4170429
22.99,0.3256677
23.01,0.2351713
23.03,0.1380843
23.05,0.0691169
23.07,0.0458436
23.09,0.0151011
23.11,0.0133569
23.13,0.0217181
23.15,0.0133833
23.17,0.0085635
23.19,0.0103369
23.21,0.0090347
23.23,0.0222317
23.25,0.022687
23.27,0.0099612
23.29,0.0165677
23.31,0.0060388
23.33,0.018357
23.35,0.0227666
23.37,0.0131164
23.39,0.0351035
23.41,0.0592874
23.44,0.0896225
23.46,0.1735603
23.48,0.3005562
23.5,0.5294853
23.52,0.6687834
23.54,0.6934067
23.56,0.6837593
23.58,0.5036374
23.6,0.4096344
23.62,0.2563168
23.64,0.1724192
23.66,0.0850066
23.68,0.0569087
23.7,0.0367193
23.72,0.0235598
23.74,0.0270963
23.76,0.0328297
23.78,0.0095647
23.8,0.0227702
23.82,0.0227946
23.84,0.0122742
23.86,0.0188891
23.88,0.0127624
23.9,0.0136656
23.93,0.030386
23.95,0.0255773
23.97,0.0212081
23.99,0.0269443
24.01,0.0199417
24.03,0.0243627
24.05,0.0151633
24.07,0.0296897
24.09,0.0270808
24.11,0.0244719
24.13,0.0196662
24.15,0.0280415
24.17,0.0148878
24.19,0.0074458
24.21,0.0101122
24.23,-0.0052354
24.25,0.0031427
24.27,9.73e-05
24.29,0.0040818
24.31,0.0063089
24.33,0.0010666
24.35,0.0094448
24.37,-0.0019486
24.39,0.0024753
24.42,0.0042658
24.44,0.0042988
24.46,0.00565
24.48,-0.0048618
24.5,0.0070342
24.52,-0.0043564
24.54,0.0022672
24.56,0.0036183
24.58,-0.0007423
24.6,0.0014876
24.62,0.0015234
24.64,0.0006805
24.66,0.000277
24.68,0.0025097
24.7,-9.07e-05
24.72,0.006975
24.74,-0.0004584
24.76,0.0101223
24.78,0.0110368
24.8,0.0014066
24.82,-0.0033879
24.84,0.0014838
24.86,0.0015223
24.88,0.0020003
24.91,0.0068719
24.93,0.0073498
24.95,0.0012373
24.97,0.0184112
24.99,0.0478873
25.01,0.0637431
25.03,0.0910251
25.05,0.1051261
25.07,0.0902288
25.09,0.0867551
25.11,0.0766909
25.13,0.0503701
25.15,0.0372303
25.17,0.0227724
25.19,0.0056783
25.21,0.0153856
25.23,0.0110357
25.25,0.0080038
25.27,0.0418789
25.29,0.0704815
25.31,0.1302792
25.33,0.1685479
25.35,0.1971506
25.37,0.2072998
25.4,0.179224
25.42,0.1546632
25.44,0.1169238
25.46,0.0765481
25.48,0.0467173
25.5,0.0265526
25.52,0.017372
25.54,0.0081915
25.56,0.0025259
25.58,0.0078444
25.6,0.00833
25.62,0.0074974
25.64,0.0176513
25.66,0.0194572
25.68,0.0287323
25.7,0.0419617
25.72,0.0446464
25.74,0.0407405
25.76,0.0350771
25.78,0.0276563
25.8,0.0219929
25.82,0.0145721
25.84,0.0089108
25.86,0.0019315
25.89,0.0098906
25.91,0.0095017
25.93,0.0091129
25.95,0.0144358
25.97,0.0303035
25.99,0.0246422
26.01,0.032162
26.03,0.0247433
26.05,0.020402
26.07,0.0160607
26.09,0.01831
26.11,0.009575
26.13,0.0122637
26.15,0.0044075
26.17,-0.0021306
26.19,0.0040729
26.21,0.008519
26.23,0.0068139
26.25,0.0042318
26.27,0.0056041
26.29,0.0074156
26.31,0.0153784
26.33,0.0101601
26.35,0.0308644
26.38,0.0506901
26.4,0.1083013
26.42,0.1689881
