two_theta,intensity
11.57,0.0006779
11.59,0.0011724
11.61,0.0037421
11.64,0.0061043
11.66,-4.15e-05
11.68,0.0021132
11.7,0.0026077
11.72,0.0055924
11.74,0.0021443
11.76,0.0072041
11.78,0.0039635
11.8,0.0088158
11.82,0.0095179
11.84,0.0141627
11.86,0.0073943
11.88,0.0112091
11.9,0.0058933
11.92,0.0065954
11.94,3.46e-05
11.96,0.0017742
11.98,0.005174
12,0.0004807
12.02,0.004088
12.04,0.0087328
12.06,0.0042471
12.08,0.0047416
12.1,0.0056512
12.13,0.0026181
12.15,0
12.17,0.0062911
12.19,0.0080169
12.21,0.0058
12.23,0.002338
12.25,0.0046863
12.27,0.0057896
12.29,0.0006675
12.31,0.0028083
12.33,-3.11e-05
12.35,0.0004496
12.37,0.0073632
12.39,0.0026562
12.41,0.0072871
12.43,0.0040326
12.45,0.007211
12.47,0.0010514
12.49,0.0013246
12.51,0.0051255
12.53,0.0049837
12.55,0.0050495
12.57,0.0065677
12.59,0.0087086
12.62,0.0054541
12.64,0.0044823
12.66,0.0030954
12.68,0.0021235
12.7,-0.0011309
12.72,0.0055751
12.74,-0.0030746
12.76,0.0065366
12.78,0.0047347
12.8,0.0012727
12.82,0.001546
12.84,0.0014042
12.86,-0.0024729
12.88,0.0075534
12.9,-0.0046241
12.92,0.001252
12.94,0.0011102
12.96,0.0040811
12.98,-3.5e-06
13,0.00442
13.02,0.0063533
13.04,0.0028913
13.06,5.19e-05
13.08,-0.0005049
13.11,0.0016359
13.13,0.0077194
13.15,0.0034274
13.17,0.0063983
13.19,0.0050114
13.21,0.003002
13.23,0.0005776
13.25,0.0016808
13.27,0.0021616
13.29,0.0007747
13.31,0.0004254
13.33,0.0019437
13.35,0.0109324
13.37,0
13.39,0.0064808
13.41,0.0005109
13.43,0.0053316
13.45,0.0103598
13.47,0.00688
13.49,0.0075505
13.51,0.0003355
13.53,0.0024585
13.55,0.0060341
13.57,0.0023469
13.6,0.003225
13.62,-0.0004622
13.64,0.0031136
13.66,0.0048218
13.68,-0.000733
13.7,-0.0006849
13.72,0.0001932
13.74,-0.0018339
13.76,0.0011194
13.78,0.0032426
13.8,-0.0014819
13.82,0.0023015
13.84,0.0006897
13.86,0.0028131
13.88,0.0014088
13.9,-0.0004105
13.92,0.0021279
13.94,-0.0040492
13.96,0.0034695
13.98,0.0006126
14,0.005849
14.02,0.0021623
14.04,0.0073986
14.06,0.004127
14.08,0.0066656
14.11,0.0071292
14.13,0.0107055
14.15,0.0039061
14.17,0.0072748
14.19,0.0075309
14.21,0.0067497
14.23,0.0103262
14.25,0.0166005
14.27,0.019762
14.29,0.0281113
14.31,0.0258775
14.33,0.0194935
14.35,0.013732
14.37,0.0127433
14.39,0.0063593
14.41,-0.0016844
14.43,0.0052127
14.45,0.0025642
14.47,0.0071787
14.49,0.0032852
14.51,0.0064471
14.53,0.0058737
14.55,0.014846
14.57,0.0190454
14.6,0.016397
